"OP_UNIQUE_CARRIER","flight_count","avg_delay","delayed_count","predicted_delay_rate","window_start","window_end"
"AA",144,-4.208333333333333,36,0.0,"2026-09-03 01:09:00","2026-09-03 01:10:00"
"YX",791,-13.54235145385588,370,0.09734513274336283,"2026-09-03 01:09:00","2026-09-03 01:10:00"
"UA",98,-3.8979591836734695,36,0.02040816326530612,"2026-09-03 01:09:00","2026-09-03 01:10:00"
"WN",3760,1.9324468085106383,590,0.0,"2026-09-03 01:09:00","2026-09-03 01:10:00"
"9E",571,-13.516637478108581,239,0.028021015761821366,"2026-09-03 01:09:00","2026-09-03 01:10:00"
"UA",17051,1.1400504369245206,4924,0.010321975250718433,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"MQ",5935,-0.41128896377422075,1048,0.0,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"AA",23706,4.518054500970218,5038,0.0,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"B6",5494,-3.258099745176556,1996,0.11485256643611212,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"DL",21450,-5.956130536130536,6535,0.07911421911421912,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"NK",5863,2.6778099948831655,1476,0.017397236909432033,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"OH",4836,-5.017783291976841,1469,0.008684863523573201,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"HA",1871,1.7744521646178515,123,0.0,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"F9",3914,-0.3822176801226367,1220,0.006898313745528871,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"9E",4676,-11.408041060735671,1986,0.03357570573139435,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"AS",4968,-1.696658615136876,1319,0.024154589371980676,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"OO",16578,7.574435999517433,3685,0.022198093859331643,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"G4",2230,-0.7986547085201794,797,0.0,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"YX",6620,-16.446978851963745,3324,0.09078549848942598,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"WN",32286,2.4541287245245615,4971,0.0,"2026-09-03 01:30:00","2026-09-03 01:31:00"
"WN",25378,0.7020647805185594,3145,0.0,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"YX",5161,-6.6388296841697345,1706,0.09164890525092037,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"F9",3421,8.7044723764981,862,0.0070154925460391695,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"B6",4565,13.875355969331872,928,0.11500547645125958,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"OH",3769,2.9227911912974265,775,0.008490315733616343,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"9E",3605,-1.170873786407767,1042,0.034396671289875176,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"NK",4785,8.82612330198537,816,0.01671891327063741,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"UA",13670,1.7286027798098025,3149,0.010314557425018288,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"AS",3995,-2.123153942428035,856,0.024780976220275343,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"AA",18304,6.255463286713287,3115,0.0,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"MQ",4762,-1.0705585888282234,774,0.00020999580008399833,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"G4",2036,11.089882121807465,502,0.0,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"HA",1470,17.728571428571428,67,0.0,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"DL",16730,-1.7936640765092648,3844,0.07973699940227137,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"OO",12575,3.68286282306163,2999,0.02147117296222664,"2026-09-03 01:32:00","2026-09-03 01:33:00"
"F9",3716,2.4456404736275563,987,0.007534983853606028,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"OO",12849,0.8608452019612421,3378,0.022025060315977896,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"AA",16698,2.681878069229848,3458,0.0,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"YX",4574,-12.935505028421513,1903,0.08898119807608221,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"G4",2302,3.0986099044309294,673,0.0,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"HA",1470,4.264625850340136,76,0.0,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"9E",3335,-11.598200899550225,1340,0.032083958020989505,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"NK",5012,5.509577015163607,1001,0.01596169193934557,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"OH",3766,-3.7966011683483805,988,0.008231545406266597,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"MQ",5058,-5.006722024515619,1041,0.00019770660340055358,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"DL",17581,-5.228257778283374,4853,0.07758375519026221,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"UA",12279,-2.3195699975568043,3381,0.010505741509894943,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"WN",22197,-1.6431499752218768,3407,0.0,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"AS",4254,-2.445698166431594,1035,0.025152797367183826,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"B6",4950,9.75959595959596,1200,0.11232323232323232,"2026-09-03 01:35:00","2026-09-03 01:36:00"
"UA",11865,2.023851664559629,2865,0.010198061525495154,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"YX",4456,-5.434021543985637,1669,0.08640035906642729,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"G4",1526,5.466579292267365,346,0.0,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"NK",3549,3.4516765285996054,698,0.015779092702169626,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"DL",13003,-2.948165807890487,3171,0.07759747750519111,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"WN",21586,0.2760585564717873,3019,0.0,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"OH",2722,-2.642174871418075,700,0.00881704628949302,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"F9",2626,4.605864432597106,703,0.007616146230007616,"2026-09-03 01:38:00","2026-09-03 01:39:00"
"MQ",3654,-0.5268199233716475,655,0.0,"2026-09-03 01:38:00","2026-09-03 01:39:00"
